date,value,metal,unit,source
1992-01-01,2150.5796,copper,USD/lb,alphavantage
1992-02-01,2208.8923,copper,USD/lb,alphavantage
1992-03-01,2231.7855,copper,USD/lb,alphavantage
1992-04-01,2214.1668,copper,USD/lb,alphavantage
1992-05-01,2219.3151,copper,USD/lb,alphavantage
1992-06-01,2296.4419,copper,USD/lb,alphavantage
1992-07-01,2527.285,copper,USD/lb,alphavantage
1992-08-01,2513.47,copper,USD/lb,alphavantage
1992-09-01,2419.6142,copper,USD/lb,alphavantage
1992-10-01,2262.457,copper,USD/lb,alphavantage
1992-11-01,2161.7891,copper,USD/lb,alphavantage
1992-12-01,2211.9503,copper,USD/lb,alphavantage
1993-01-01,2264.214,copper,USD/lb,alphavantage
1993-02-01,2212.1814,copper,USD/lb,alphavantage
1993-03-01,2152.3802,copper,USD/lb,alphavantage
1993-04-01,1953.6206,copper,USD/lb,alphavantage
1993-05-01,1799.3517,copper,USD/lb,alphavantage
1993-06-01,1857.8707,copper,USD/lb,alphavantage
1993-07-01,1927.3398,copper,USD/lb,alphavantage
1993-08-01,1951.0714,copper,USD/lb,alphavantage
1993-09-01,1858.25,copper,USD/lb,alphavantage
1993-10-01,1646.9999,copper,USD/lb,alphavantage
1993-11-01,1632.5681,copper,USD/lb,alphavantage
1993-12-01,1723.6251,copper,USD/lb,alphavantage
1994-01-01,1807.0714,copper,USD/lb,alphavantage
1994-02-01,1865.075,copper,USD/lb,alphavantage
1994-03-01,1913.1739,copper,USD/lb,alphavantage
1994-04-01,1881.3685,copper,USD/lb,alphavantage
1994-05-01,2144.5001,copper,USD/lb,alphavantage
1994-06-01,2363.091,copper,USD/lb,alphavantage
1994-07-01,2447.238,copper,USD/lb,alphavantage
1994-08-01,2409.75,copper,USD/lb,alphavantage
1994-09-01,2504.841,copper,USD/lb,alphavantage
1994-10-01,2546.0238,copper,USD/lb,alphavantage
1994-11-01,2803.5454,copper,USD/lb,alphavantage
1994-12-01,2980.7,copper,USD/lb,alphavantage
1995-01-01,3003.2619,copper,USD/lb,alphavantage
1995-02-01,2870.4502,copper,USD/lb,alphavantage
1995-03-01,2919.674,copper,USD/lb,alphavantage
1995-04-01,2894.8888,copper,USD/lb,alphavantage
1995-05-01,2771.5713,copper,USD/lb,alphavantage
1995-06-01,2987.6819,copper,USD/lb,alphavantage
1995-07-01,3076.4501,copper,USD/lb,alphavantage
1995-08-01,3040.1362,copper,USD/lb,alphavantage
1995-09-01,2910.425,copper,USD/lb,alphavantage
1995-10-01,2810.0682,copper,USD/lb,alphavantage
1995-11-01,2981.619,copper,USD/lb,alphavantage
1995-12-01,2918.2106,copper,USD/lb,alphavantage
1996-01-01,2604.9999,copper,USD/lb,alphavantage
1996-02-01,2544.6667,copper,USD/lb,alphavantage
1996-03-01,2563.3499,copper,USD/lb,alphavantage
1996-04-01,2594.175,copper,USD/lb,alphavantage
1996-05-01,2658.7619,copper,USD/lb,alphavantage
1996-06-01,2177.6,copper,USD/lb,alphavantage
1996-07-01,1983.9348,copper,USD/lb,alphavantage
1996-08-01,2017.8572,copper,USD/lb,alphavantage
1996-09-01,1935.0714,copper,USD/lb,alphavantage
1996-10-01,1960.1957,copper,USD/lb,alphavantage
1996-11-01,2215.4286,copper,USD/lb,alphavantage
1996-12-01,2264.5953,copper,USD/lb,alphavantage
1997-01-01,2427.2728,copper,USD/lb,alphavantage
1997-02-01,2406.6316,copper,USD/lb,alphavantage
1997-03-01,2420.1842,copper,USD/lb,alphavantage
1997-04-01,2389.3181,copper,USD/lb,alphavantage
1997-05-01,2513.2999,copper,USD/lb,alphavantage
1997-06-01,2611.2857,copper,USD/lb,alphavantage
1997-07-01,2449.1957,copper,USD/lb,alphavantage
1997-08-01,2250.1,copper,USD/lb,alphavantage
1997-09-01,2104.3096,copper,USD/lb,alphavantage
1997-10-01,2050.6956,copper,USD/lb,alphavantage
1997-11-01,1918.4999,copper,USD/lb,alphavantage
1997-12-01,1761.4524,copper,USD/lb,alphavantage
1998-01-01,1687.6,copper,USD/lb,alphavantage
1998-02-01,1664.0,copper,USD/lb,alphavantage
1998-03-01,1747.1592,copper,USD/lb,alphavantage
1998-04-01,1800.1251,copper,USD/lb,alphavantage
1998-05-01,1731.6579,copper,USD/lb,alphavantage
1998-06-01,1656.5952,copper,USD/lb,alphavantage
