date,value,series_id,unit,source
2021-04-08,1.1873,eurusd,FX,ecb
2021-04-09,1.1888,eurusd,FX,ecb
2021-04-12,1.1904,eurusd,FX,ecb
2021-04-13,1.1896,eurusd,FX,ecb
2021-04-14,1.1964,eurusd,FX,ecb
2021-04-15,1.197,eurusd,FX,ecb
2021-04-16,1.1986,eurusd,FX,ecb
2021-04-19,1.2035,eurusd,FX,ecb
2021-04-20,1.2051,eurusd,FX,ecb
2021-04-21,1.2007,eurusd,FX,ecb
2021-04-22,1.2046,eurusd,FX,ecb
2021-04-23,1.2066,eurusd,FX,ecb
2021-04-26,1.2085,eurusd,FX,ecb
2021-04-27,1.2088,eurusd,FX,ecb
2021-04-28,1.207,eurusd,FX,ecb
2021-04-29,1.2129,eurusd,FX,ecb
2021-04-30,1.2082,eurusd,FX,ecb
2021-05-03,1.2044,eurusd,FX,ecb
2021-05-04,1.2021,eurusd,FX,ecb
2021-05-05,1.2005,eurusd,FX,ecb
2021-05-06,1.206,eurusd,FX,ecb
2021-05-07,1.2059,eurusd,FX,ecb
2021-05-10,1.2169,eurusd,FX,ecb
2021-05-11,1.217,eurusd,FX,ecb
2021-05-12,1.2118,eurusd,FX,ecb
2021-05-13,1.2081,eurusd,FX,ecb
2021-05-14,1.2123,eurusd,FX,ecb
2021-05-17,1.2143,eurusd,FX,ecb
2021-05-18,1.2222,eurusd,FX,ecb
2021-05-19,1.2212,eurusd,FX,ecb
2021-05-20,1.2203,eurusd,FX,ecb
2021-05-21,1.2188,eurusd,FX,ecb
2021-05-24,1.2212,eurusd,FX,ecb
2021-05-25,1.2264,eurusd,FX,ecb
2021-05-26,1.2229,eurusd,FX,ecb
2021-05-27,1.2198,eurusd,FX,ecb
2021-05-28,1.2142,eurusd,FX,ecb
2021-05-31,1.2201,eurusd,FX,ecb
2021-06-01,1.2225,eurusd,FX,ecb
2021-06-02,1.2186,eurusd,FX,ecb
2021-06-03,1.2187,eurusd,FX,ecb
2021-06-04,1.2117,eurusd,FX,ecb
2021-06-07,1.2162,eurusd,FX,ecb
2021-06-08,1.2182,eurusd,FX,ecb
2021-06-09,1.2195,eurusd,FX,ecb
2021-06-10,1.2174,eurusd,FX,ecb
2021-06-11,1.2125,eurusd,FX,ecb
2021-06-14,1.2112,eurusd,FX,ecb
2021-06-15,1.2108,eurusd,FX,ecb
2021-06-16,1.2124,eurusd,FX,ecb
2021-06-17,1.1937,eurusd,FX,ecb
2021-06-18,1.1898,eurusd,FX,ecb
2021-06-21,1.1891,eurusd,FX,ecb
2021-06-22,1.1894,eurusd,FX,ecb
2021-06-23,1.1951,eurusd,FX,ecb
2021-06-24,1.1936,eurusd,FX,ecb
2021-06-25,1.195,eurusd,FX,ecb
2021-06-28,1.191,eurusd,FX,ecb
2021-06-29,1.1888,eurusd,FX,ecb
2021-06-30,1.1884,eurusd,FX,ecb
2021-07-01,1.1884,eurusd,FX,ecb
2021-07-02,1.1823,eurusd,FX,ecb
2021-07-05,1.1866,eurusd,FX,ecb
2021-07-06,1.1838,eurusd,FX,ecb
2021-07-07,1.1831,eurusd,FX,ecb
2021-07-08,1.1838,eurusd,FX,ecb
2021-07-09,1.1858,eurusd,FX,ecb
2021-07-12,1.1852,eurusd,FX,ecb
2021-07-13,1.1844,eurusd,FX,ecb
2021-07-14,1.1812,eurusd,FX,ecb
2021-07-15,1.1809,eurusd,FX,ecb
2021-07-16,1.1802,eurusd,FX,ecb
2021-07-19,1.1766,eurusd,FX,ecb
2021-07-20,1.1775,eurusd,FX,ecb
2021-07-21,1.1772,eurusd,FX,ecb
2021-07-22,1.1775,eurusd,FX,ecb
2021-07-23,1.1767,eurusd,FX,ecb
2021-07-26,1.1787,eurusd,FX,ecb
2021-07-27,1.181,eurusd,FX,ecb
2021-07-28,1.1807,eurusd,FX,ecb
2021-07-29,1.1873,eurusd,FX,ecb
2021-07-30,1.1891,eurusd,FX,ecb
2021-08-02,1.1886,eurusd,FX,ecb
2021-08-03,1.1885,eurusd,FX,ecb
2021-08-04,1.1861,eurusd,FX,ecb
2021-08-05,1.185,eurusd,FX,ecb
2021-08-06,1.1807,eurusd,FX,ecb
2021-08-09,1.1761,eurusd,FX,ecb
2021-08-10,1.1722,eurusd,FX,ecb
2021-08-11,1.1718,eurusd,FX,ecb
2021-08-12,1.1739,eurusd,FX,ecb
2021-08-13,1.1765,eurusd,FX,ecb
2021-08-16,1.1772,eurusd,FX,ecb
2021-08-17,1.1767,eurusd,FX,ecb
2021-08-18,1.1723,eurusd,FX,ecb
2021-08-19,1.1696,eurusd,FX,ecb
2021-08-20,1.1671,eurusd,FX,ecb
2021-08-23,1.1718,eurusd,FX,ecb
2021-08-24,1.174,eurusd,FX,ecb
2021-08-25,1.1736,eurusd,FX,ecb
2021-08-26,1.1767,eurusd,FX,ecb
2021-08-27,1.1761,eurusd,FX,ecb
2021-08-30,1.1801,eurusd,FX,ecb
