date,value,series_id,unit,source
2021-04-08,0.8629,gbpeur,FX,ecb
2021-04-09,0.86658,gbpeur,FX,ecb
2021-04-12,0.86518,gbpeur,FX,ecb
2021-04-13,0.86698,gbpeur,FX,ecb
2021-04-14,0.86918,gbpeur,FX,ecb
2021-04-15,0.86753,gbpeur,FX,ecb
2021-04-16,0.86793,gbpeur,FX,ecb
2021-04-19,0.86355,gbpeur,FX,ecb
2021-04-20,0.86295,gbpeur,FX,ecb
2021-04-21,0.8625,gbpeur,FX,ecb
2021-04-22,0.86855,gbpeur,FX,ecb
2021-04-23,0.86905,gbpeur,FX,ecb
2021-04-26,0.86975,gbpeur,FX,ecb
2021-04-27,0.86895,gbpeur,FX,ecb
2021-04-28,0.86988,gbpeur,FX,ecb
2021-04-29,0.8691,gbpeur,FX,ecb
2021-04-30,0.86863,gbpeur,FX,ecb
2021-05-03,0.86838,gbpeur,FX,ecb
2021-05-04,0.8677,gbpeur,FX,ecb
2021-05-05,0.86274,gbpeur,FX,ecb
2021-05-06,0.86708,gbpeur,FX,ecb
2021-05-07,0.8681,gbpeur,FX,ecb
2021-05-10,0.86195,gbpeur,FX,ecb
2021-05-11,0.86013,gbpeur,FX,ecb
2021-05-12,0.85798,gbpeur,FX,ecb
2021-05-13,0.86063,gbpeur,FX,ecb
2021-05-14,0.86083,gbpeur,FX,ecb
2021-05-17,0.86215,gbpeur,FX,ecb
2021-05-18,0.85998,gbpeur,FX,ecb
2021-05-19,0.86233,gbpeur,FX,ecb
2021-05-20,0.864,gbpeur,FX,ecb
2021-05-21,0.8587,gbpeur,FX,ecb
2021-05-24,0.86408,gbpeur,FX,ecb
2021-05-25,0.86573,gbpeur,FX,ecb
2021-05-26,0.8633,gbpeur,FX,ecb
2021-05-27,0.86068,gbpeur,FX,ecb
2021-05-28,0.85765,gbpeur,FX,ecb
2021-05-31,0.86013,gbpeur,FX,ecb
2021-06-01,0.86285,gbpeur,FX,ecb
2021-06-02,0.86125,gbpeur,FX,ecb
2021-06-03,0.85955,gbpeur,FX,ecb
2021-06-04,0.8569,gbpeur,FX,ecb
2021-06-07,0.85825,gbpeur,FX,ecb
2021-06-08,0.861,gbpeur,FX,ecb
2021-06-09,0.86053,gbpeur,FX,ecb
2021-06-10,0.86293,gbpeur,FX,ecb
2021-06-11,0.8571,gbpeur,FX,ecb
2021-06-14,0.85898,gbpeur,FX,ecb
2021-06-15,0.8615,gbpeur,FX,ecb
2021-06-16,0.8583,gbpeur,FX,ecb
2021-06-17,0.85525,gbpeur,FX,ecb
2021-06-18,0.85785,gbpeur,FX,ecb
2021-06-21,0.8567,gbpeur,FX,ecb
2021-06-22,0.8556,gbpeur,FX,ecb
2021-06-23,0.85435,gbpeur,FX,ecb
2021-06-24,0.85883,gbpeur,FX,ecb
2021-06-25,0.8595,gbpeur,FX,ecb
2021-06-28,0.8571,gbpeur,FX,ecb
2021-06-29,0.85948,gbpeur,FX,ecb
2021-06-30,0.85805,gbpeur,FX,ecb
2021-07-01,0.86033,gbpeur,FX,ecb
2021-07-02,0.86003,gbpeur,FX,ecb
2021-07-05,0.85665,gbpeur,FX,ecb
2021-07-06,0.8545,gbpeur,FX,ecb
2021-07-07,0.855,gbpeur,FX,ecb
2021-07-08,0.86133,gbpeur,FX,ecb
2021-07-09,0.85758,gbpeur,FX,ecb
2021-07-12,0.8557,gbpeur,FX,ecb
2021-07-13,0.85518,gbpeur,FX,ecb
2021-07-14,0.85158,gbpeur,FX,ecb
2021-07-15,0.85188,gbpeur,FX,ecb
2021-07-16,0.85298,gbpeur,FX,ecb
2021-07-19,0.85913,gbpeur,FX,ecb
2021-07-20,0.86545,gbpeur,FX,ecb
2021-07-21,0.86363,gbpeur,FX,ecb
2021-07-22,0.85563,gbpeur,FX,ecb
2021-07-23,0.85543,gbpeur,FX,ecb
2021-07-26,0.85468,gbpeur,FX,ecb
2021-07-27,0.85503,gbpeur,FX,ecb
2021-07-28,0.85095,gbpeur,FX,ecb
2021-07-29,0.8508,gbpeur,FX,ecb
2021-07-30,0.8514,gbpeur,FX,ecb
2021-08-02,0.85568,gbpeur,FX,ecb
2021-08-03,0.85355,gbpeur,FX,ecb
2021-08-04,0.85153,gbpeur,FX,ecb
2021-08-05,0.8506,gbpeur,FX,ecb
2021-08-06,0.8484,gbpeur,FX,ecb
2021-08-09,0.84745,gbpeur,FX,ecb
2021-08-10,0.84568,gbpeur,FX,ecb
2021-08-11,0.84698,gbpeur,FX,ecb
