date,country_code,unit,value
2021-04-08,DE,EUR/MWh,44.6556
2021-04-09,DE,EUR/MWh,56.4291
2021-04-10,DE,EUR/MWh,57.1273
2021-04-11,DE,EUR/MWh,45.5808
2021-04-12,DE,EUR/MWh,62.7125
2021-04-13,DE,EUR/MWh,60.896
2021-04-14,DE,EUR/MWh,70.408
2021-04-15,DE,EUR/MWh,68.3689
2021-04-16,DE,EUR/MWh,64.6032
2021-04-17,DE,EUR/MWh,59.7744
2021-04-18,DE,EUR/MWh,58.3275
2021-04-19,DE,EUR/MWh,74.2296
2021-04-20,DE,EUR/MWh,76.4361
2021-04-21,DE,EUR/MWh,59.0492
2021-04-22,DE,EUR/MWh,49.9946
2021-04-23,DE,EUR/MWh,61.0568
2021-04-24,DE,EUR/MWh,52.7598
2021-04-25,DE,EUR/MWh,39.8242
2021-04-26,DE,EUR/MWh,63.8984
2021-04-27,DE,EUR/MWh,60.7713
2021-04-28,DE,EUR/MWh,61.4352
2021-04-29,DE,EUR/MWh,59.2032
2021-04-30,DE,EUR/MWh,70.0838
2021-05-01,DE,EUR/MWh,58.1422
2021-05-02,DE,EUR/MWh,47.2422
2021-05-03,DE,EUR/MWh,62.069
2021-05-04,DE,EUR/MWh,28.4853
2021-05-05,DE,EUR/MWh,35.8447
2021-05-06,DE,EUR/MWh,67.9338
2021-05-07,DE,EUR/MWh,67.8577
2021-05-08,DE,EUR/MWh,47.3085
2021-05-09,DE,EUR/MWh,1.7465
2021-05-10,DE,EUR/MWh,61.3407
2021-05-11,DE,EUR/MWh,71.9525
2021-05-12,DE,EUR/MWh,69.4427
2021-05-13,DE,EUR/MWh,57.2506
2021-05-14,DE,EUR/MWh,66.5048
2021-05-15,DE,EUR/MWh,61.4402
2021-05-16,DE,EUR/MWh,44.8293
2021-05-17,DE,EUR/MWh,69.6133
2021-05-18,DE,EUR/MWh,74.6444
2021-05-19,DE,EUR/MWh,77.4827
2021-05-20,DE,EUR/MWh,69.9472
2021-05-21,DE,EUR/MWh,38.1262
2021-05-22,DE,EUR/MWh,-4.8861
2021-05-23,DE,EUR/MWh,17.5698
2021-05-24,DE,EUR/MWh,23.2048
2021-05-25,DE,EUR/MWh,59.8498
2021-05-26,DE,EUR/MWh,64.754
2021-05-27,DE,EUR/MWh,71.7549
2021-05-28,DE,EUR/MWh,75.1077
2021-05-29,DE,EUR/MWh,57.5647
2021-05-30,DE,EUR/MWh,43.5432
2021-05-31,DE,EUR/MWh,69.4193
2021-06-01,DE,EUR/MWh,68.5843
2021-06-02,DE,EUR/MWh,65.5909
2021-06-03,DE,EUR/MWh,61.4569
2021-06-04,DE,EUR/MWh,72.2914
2021-06-05,DE,EUR/MWh,61.1974
2021-06-06,DE,EUR/MWh,52.9657
2021-06-07,DE,EUR/MWh,74.8535
2021-06-08,DE,EUR/MWh,77.6908
2021-06-09,DE,EUR/MWh,78.0882
2021-06-10,DE,EUR/MWh,78.5647
2021-06-11,DE,EUR/MWh,75.2988
2021-06-12,DE,EUR/MWh,35.3199
2021-06-13,DE,EUR/MWh,25.5219
2021-06-14,DE,EUR/MWh,75.9713
2021-06-15,DE,EUR/MWh,82.7364
2021-06-16,DE,EUR/MWh,83.2607
2021-06-17,DE,EUR/MWh,79.0753
2021-06-18,DE,EUR/MWh,80.9519
2021-06-19,DE,EUR/MWh,68.0672
2021-06-20,DE,EUR/MWh,53.8946
2021-06-21,DE,EUR/MWh,81.7011
2021-06-22,DE,EUR/MWh,83.9007
2021-06-23,DE,EUR/MWh,95.4102
2021-06-24,DE,EUR/MWh,97.5068
2021-06-25,DE,EUR/MWh,89.8861
2021-06-26,DE,EUR/MWh,76.3044
2021-06-27,DE,EUR/MWh,63.8871
2021-06-28,DE,EUR/MWh,87.8666
2021-06-29,DE,EUR/MWh,92.1039
