date,country_code,unit,value
2021-04-08,DK,EUR/MWh,16.5
2021-04-09,DK,EUR/MWh,25.4175
2021-04-10,DK,EUR/MWh,54.1921
2021-04-11,DK,EUR/MWh,46.6017
2021-04-12,DK,EUR/MWh,45.3871
2021-04-13,DK,EUR/MWh,49.4667
2021-04-14,DK,EUR/MWh,68.9296
2021-04-15,DK,EUR/MWh,63.5996
2021-04-16,DK,EUR/MWh,55.6958
2021-04-17,DK,EUR/MWh,59.0083
2021-04-18,DK,EUR/MWh,60.9162
2021-04-19,DK,EUR/MWh,70.9983
2021-04-20,DK,EUR/MWh,75.555
2021-04-21,DK,EUR/MWh,45.0946
2021-04-22,DK,EUR/MWh,34.0317
2021-04-23,DK,EUR/MWh,48.3642
2021-04-24,DK,EUR/MWh,48.7821
2021-04-25,DK,EUR/MWh,37.6558
2021-04-26,DK,EUR/MWh,61.6467
2021-04-27,DK,EUR/MWh,58.8208
2021-04-28,DK,EUR/MWh,59.83
2021-04-29,DK,EUR/MWh,54.3812
2021-04-30,DK,EUR/MWh,68.2642
2021-05-01,DK,EUR/MWh,55.5962
2021-05-02,DK,EUR/MWh,46.9062
2021-05-03,DK,EUR/MWh,61.4279
2021-05-04,DK,EUR/MWh,28.7375
2021-05-05,DK,EUR/MWh,37.9738
2021-05-06,DK,EUR/MWh,66.9596
2021-05-07,DK,EUR/MWh,68.5783
2021-05-08,DK,EUR/MWh,43.4228
2021-05-09,DK,EUR/MWh,8.6698
2021-05-10,DK,EUR/MWh,57.9779
2021-05-11,DK,EUR/MWh,71.5692
2021-05-12,DK,EUR/MWh,68.55
2021-05-13,DK,EUR/MWh,63.41
2021-05-14,DK,EUR/MWh,72.2086
2021-05-15,DK,EUR/MWh,58.5988
2021-05-16,DK,EUR/MWh,40.4658
2021-05-17,DK,EUR/MWh,74.3896
2021-05-18,DK,EUR/MWh,74.5154
2021-05-19,DK,EUR/MWh,77.515
2021-05-20,DK,EUR/MWh,57.9533
2021-05-21,DK,EUR/MWh,31.8088
2021-05-22,DK,EUR/MWh,11.6904
2021-05-23,DK,EUR/MWh,22.8462
2021-05-24,DK,EUR/MWh,41.3125
2021-05-25,DK,EUR/MWh,60.2488
2021-05-26,DK,EUR/MWh,64.9113
2021-05-27,DK,EUR/MWh,72.4367
2021-05-28,DK,EUR/MWh,73.8071
2021-05-29,DK,EUR/MWh,55.4758
2021-05-30,DK,EUR/MWh,40.4538
2021-05-31,DK,EUR/MWh,67.6246
2021-06-01,DK,EUR/MWh,68.4808
2021-06-02,DK,EUR/MWh,64.2338
2021-06-03,DK,EUR/MWh,55.9379
2021-06-04,DK,EUR/MWh,71.9425
2021-06-05,DK,EUR/MWh,61.5929
2021-06-06,DK,EUR/MWh,59.8229
2021-06-07,DK,EUR/MWh,76.9619
2021-06-08,DK,EUR/MWh,77.2952
2021-06-09,DK,EUR/MWh,77.4342
2021-06-10,DK,EUR/MWh,79.0558
2021-06-11,DK,EUR/MWh,77.7838
2021-06-12,DK,EUR/MWh,32.8029
2021-06-13,DK,EUR/MWh,24.427
2021-06-14,DK,EUR/MWh,74.8858
2021-06-15,DK,EUR/MWh,81.79
2021-06-16,DK,EUR/MWh,84.3338
2021-06-17,DK,EUR/MWh,77.9229
2021-06-18,DK,EUR/MWh,80.5271
2021-06-19,DK,EUR/MWh,69.555
2021-06-20,DK,EUR/MWh,57.9791
2021-06-21,DK,EUR/MWh,78.1933
2021-06-22,DK,EUR/MWh,84.7021
2021-06-23,DK,EUR/MWh,93.4721
2021-06-24,DK,EUR/MWh,94.9967
2021-06-25,DK,EUR/MWh,90.1021
2021-06-26,DK,EUR/MWh,78.8175
2021-06-27,DK,EUR/MWh,65.23
2021-06-28,DK,EUR/MWh,88.8458
2021-06-29,DK,EUR/MWh,91.7508
2021-06-30,DK,EUR/MWh,92.2775
2021-07-01,DK,EUR/MWh,89.7054
2021-07-02,DK,EUR/MWh,96.6212
2021-07-03,DK,EUR/MWh,83.7662
2021-07-04,DK,EUR/MWh,81.9575
2021-07-05,DK,EUR/MWh,94.1833
2021-07-06,DK,EUR/MWh,79.2171
2021-07-07,DK,EUR/MWh,96.1996
2021-07-08,DK,EUR/MWh,109.8961
2021-07-09,DK,EUR/MWh,91.4046
2021-07-10,DK,EUR/MWh,80.4871
2021-07-11,DK,EUR/MWh,77.4463
2021-07-12,DK,EUR/MWh,93.975
2021-07-13,DK,EUR/MWh,94.2312
2021-07-14,DK,EUR/MWh,87.455
2021-07-15,DK,EUR/MWh,89.0404
2021-07-16,DK,EUR/MWh,83.0926
2021-07-17,DK,EUR/MWh,54.4412
2021-07-18,DK,EUR/MWh,39.3408
2021-07-19,DK,EUR/MWh,88.9842
2021-07-20,DK,EUR/MWh,73.5925
2021-07-21,DK,EUR/MWh,89.9929
2021-07-22,DK,EUR/MWh,87.6333
2021-07-23,DK,EUR/MWh,88.7713
2021-07-24,DK,EUR/MWh,73.1192
2021-07-25,DK,EUR/MWh,62.1521
2021-07-26,DK,EUR/MWh,87.9326
2021-07-27,DK,EUR/MWh,87.3329
2021-07-28,DK,EUR/MWh,77.2421
2021-07-29,DK,EUR/MWh,38.7054
2021-07-30,DK,EUR/MWh,58.9383
2021-07-31,DK,EUR/MWh,39.4217
2021-08-01,DK,EUR/MWh,57.1846
2021-08-02,DK,EUR/MWh,82.0304
2021-08-03,DK,EUR/MWh,96.6071
2021-08-04,DK,EUR/MWh,98.1771
2021-08-05,DK,EUR/MWh,93.5691
2021-08-06,DK,EUR/MWh,69.0723
2021-08-07,DK,EUR/MWh,59.1933
2021-08-08,DK,EUR/MWh,18.9526
2021-08-09,DK,EUR/MWh,71.2612
2021-08-10,DK,EUR/MWh,92.0829
2021-08-11,DK,EUR/MWh,101.2704
2021-08-12,DK,EUR/MWh,106.2038
2021-08-13,DK,EUR/MWh,93.7979
2021-08-14,DK,EUR/MWh,61.4362
2021-08-15,DK,EUR/MWh,61.5129
2021-08-16,DK,EUR/MWh,72.4167
2021-08-17,DK,EUR/MWh,65.3371
2021-08-18,DK,EUR/MWh,73.55
2021-08-19,DK,EUR/MWh,93.4762
2021-08-20,DK,EUR/MWh,102.8671
2021-08-21,DK,EUR/MWh,90.0504
2021-08-22,DK,EUR/MWh,77.5658
2021-08-23,DK,EUR/MWh,94.6317
2021-08-24,DK,EUR/MWh,96.2162
2021-08-25,DK,EUR/MWh,80.4388
2021-08-26,DK,EUR/MWh,89.7146
2021-08-27,DK,EUR/MWh,92.2008
2021-08-28,DK,EUR/MWh,83.6433
2021-08-29,DK,EUR/MWh,81.0129
2021-08-30,DK,EUR/MWh,107.6904
2021-08-31,DK,EUR/MWh,110.1708
2021-09-01,DK,EUR/MWh,112.1742
2021-09-02,DK,EUR/MWh,117.3946
2021-09-03,DK,EUR/MWh,111.4029
2021-09-04,DK,EUR/MWh,106.4158
2021-09-05,DK,EUR/MWh,98.2396
2021-09-06,DK,EUR/MWh,129.0878
2021-09-07,DK,EUR/MWh,128.0775
2021-09-08,DK,EUR/MWh,124.3812
2021-09-09,DK,EUR/MWh,130.9829
2021-09-10,DK,EUR/MWh,139.8067
2021-09-11,DK,EUR/MWh,126.28
2021-09-12,DK,EUR/MWh,105.2225
2021-09-13,DK,EUR/MWh,142.2521
2021-09-14,DK,EUR/MWh,144.2658
2021-09-15,DK,EUR/MWh,167.8937
2021-09-16,DK,EUR/MWh,157.0704
2021-09-17,DK,EUR/MWh,147.5439
2021-09-18,DK,EUR/MWh,128.1483
2021-09-19,DK,EUR/MWh,95.6062
2021-09-20,DK,EUR/MWh,153.2112
2021-09-21,DK,EUR/MWh,147.7279
2021-09-22,DK,EUR/MWh,135.2242
2021-09-23,DK,EUR/MWh,66.225
2021-09-24,DK,EUR/MWh,96.2279
2021-09-25,DK,EUR/MWh,128.4796
2021-09-26,DK,EUR/MWh,118.8617
2021-09-27,DK,EUR/MWh,127.2921
2021-09-28,DK,EUR/MWh,156.1804
2021-09-29,DK,EUR/MWh,124.2996
2021-09-30,DK,EUR/MWh,95.0292
2021-10-01,DK,EUR/MWh,76.08
2021-10-02,DK,EUR/MWh,94.4675
2021-10-03,DK,EUR/MWh,41.5162
2021-10-04,DK,EUR/MWh,136.8512
2021-10-05,DK,EUR/MWh,150.4115
2021-10-06,DK,EUR/MWh,196.5039
2021-10-07,DK,EUR/MWh,295.4475
2021-10-08,DK,EUR/MWh,200.33
2021-10-09,DK,EUR/MWh,139.8704
2021-10-10,DK,EUR/MWh,136.7892
2021-10-11,DK,EUR/MWh,114.6171
2021-10-12,DK,EUR/MWh,158.2846
2021-10-13,DK,EUR/MWh,183.8796
2021-10-14,DK,EUR/MWh,113.6767
