date,country_code,unit,value
2021-04-08,FI,EUR/MWh,16.5
2021-04-09,FI,EUR/MWh,20.1783
2021-04-10,FI,EUR/MWh,20.1813
2021-04-11,FI,EUR/MWh,26.0004
2021-04-12,FI,EUR/MWh,40.8567
2021-04-13,FI,EUR/MWh,49.9088
2021-04-14,FI,EUR/MWh,56.8846
2021-04-15,FI,EUR/MWh,53.8758
2021-04-16,FI,EUR/MWh,48.065
2021-04-17,FI,EUR/MWh,26.1458
2021-04-18,FI,EUR/MWh,24.8542
2021-04-19,FI,EUR/MWh,48.2571
2021-04-20,FI,EUR/MWh,47.4471
2021-04-21,FI,EUR/MWh,29.9696
2021-04-22,FI,EUR/MWh,33.2188
2021-04-23,FI,EUR/MWh,25.4252
2021-04-24,FI,EUR/MWh,18.0046
2021-04-25,FI,EUR/MWh,16.3557
2021-04-26,FI,EUR/MWh,58.9421
2021-04-27,FI,EUR/MWh,61.0792
2021-04-28,FI,EUR/MWh,60.5912
2021-04-29,FI,EUR/MWh,54.9767
2021-04-30,FI,EUR/MWh,52.1883
2021-05-01,FI,EUR/MWh,46.7412
2021-05-02,FI,EUR/MWh,46.15
2021-05-03,FI,EUR/MWh,59.9592
2021-05-04,FI,EUR/MWh,60.6929
2021-05-05,FI,EUR/MWh,46.8508
2021-05-06,FI,EUR/MWh,62.6529
2021-05-07,FI,EUR/MWh,64.9867
2021-05-08,FI,EUR/MWh,44.1558
2021-05-09,FI,EUR/MWh,25.7048
2021-05-10,FI,EUR/MWh,42.6512
2021-05-11,FI,EUR/MWh,41.5454
2021-05-12,FI,EUR/MWh,46.5692
2021-05-13,FI,EUR/MWh,35.3925
2021-05-14,FI,EUR/MWh,38.3237
2021-05-15,FI,EUR/MWh,21.6012
2021-05-16,FI,EUR/MWh,29.88
2021-05-17,FI,EUR/MWh,59.6179
2021-05-18,FI,EUR/MWh,63.3471
2021-05-19,FI,EUR/MWh,56.6921
2021-05-20,FI,EUR/MWh,46.5192
2021-05-21,FI,EUR/MWh,33.6783
2021-05-22,FI,EUR/MWh,35.3933
2021-05-23,FI,EUR/MWh,22.1733
2021-05-24,FI,EUR/MWh,56.4088
2021-05-25,FI,EUR/MWh,55.6117
2021-05-26,FI,EUR/MWh,46.6496
2021-05-27,FI,EUR/MWh,55.5217
2021-05-28,FI,EUR/MWh,54.5796
2021-05-29,FI,EUR/MWh,42.2671
2021-05-30,FI,EUR/MWh,27.5625
2021-05-31,FI,EUR/MWh,50.4391
2021-06-01,FI,EUR/MWh,61.7843
2021-06-02,FI,EUR/MWh,63.9158
2021-06-03,FI,EUR/MWh,56.2412
2021-06-04,FI,EUR/MWh,59.3658
2021-06-05,FI,EUR/MWh,42.6475
2021-06-06,FI,EUR/MWh,41.0242
2021-06-07,FI,EUR/MWh,64.8685
2021-06-08,FI,EUR/MWh,67.5315
2021-06-09,FI,EUR/MWh,65.3558
2021-06-10,FI,EUR/MWh,68.5979
2021-06-11,FI,EUR/MWh,56.1042
2021-06-12,FI,EUR/MWh,32.7174
2021-06-13,FI,EUR/MWh,16.9875
2021-06-14,FI,EUR/MWh,64.7096
2021-06-15,FI,EUR/MWh,65.3208
2021-06-16,FI,EUR/MWh,86.6208
2021-06-17,FI,EUR/MWh,69.3496
2021-06-18,FI,EUR/MWh,54.825
2021-06-19,FI,EUR/MWh,41.8838
2021-06-20,FI,EUR/MWh,33.0838
2021-06-21,FI,EUR/MWh,48.2317
2021-06-22,FI,EUR/MWh,71.5721
2021-06-23,FI,EUR/MWh,76.3037
2021-06-24,FI,EUR/MWh,62.5071
2021-06-25,FI,EUR/MWh,33.3642
2021-06-26,FI,EUR/MWh,31.085
2021-06-27,FI,EUR/MWh,31.3808
2021-06-28,FI,EUR/MWh,70.9021
2021-06-29,FI,EUR/MWh,79.9417
2021-06-30,FI,EUR/MWh,68.5504
2021-07-01,FI,EUR/MWh,83.5335
2021-07-02,FI,EUR/MWh,90.5958
2021-07-03,FI,EUR/MWh,67.4696
2021-07-04,FI,EUR/MWh,63.6175
2021-07-05,FI,EUR/MWh,83.1925
2021-07-06,FI,EUR/MWh,80.5054
2021-07-07,FI,EUR/MWh,89.0604
2021-07-08,FI,EUR/MWh,79.003
2021-07-09,FI,EUR/MWh,87.4596
2021-07-10,FI,EUR/MWh,76.6404
2021-07-11,FI,EUR/MWh,67.9217
2021-07-12,FI,EUR/MWh,93.9617
2021-07-13,FI,EUR/MWh,98.3196
2021-07-14,FI,EUR/MWh,108.6425
2021-07-15,FI,EUR/MWh,99.5513
2021-07-16,FI,EUR/MWh,89.5462
2021-07-17,FI,EUR/MWh,66.4108
2021-07-18,FI,EUR/MWh,37.0854
2021-07-19,FI,EUR/MWh,81.8242
2021-07-20,FI,EUR/MWh,73.2579
2021-07-21,FI,EUR/MWh,68.6608
2021-07-22,FI,EUR/MWh,59.1996
2021-07-23,FI,EUR/MWh,78.0817
2021-07-24,FI,EUR/MWh,69.3871
2021-07-25,FI,EUR/MWh,66.0646
2021-07-26,FI,EUR/MWh,83.0422
2021-07-27,FI,EUR/MWh,86.8575
2021-07-28,FI,EUR/MWh,83.9454
2021-07-29,FI,EUR/MWh,84.505
2021-07-30,FI,EUR/MWh,77.3567
2021-07-31,FI,EUR/MWh,62.1765
