date,country_code,unit,value
2021-04-08,FR,EUR/MWh,71.67
2021-04-09,FR,EUR/MWh,71.9567
2021-04-10,FR,EUR/MWh,58.8771
2021-04-11,FR,EUR/MWh,53.7767
2021-04-12,FR,EUR/MWh,73.2171
2021-04-13,FR,EUR/MWh,84.6026
2021-04-14,FR,EUR/MWh,79.8912
2021-04-15,FR,EUR/MWh,74.8196
2021-04-16,FR,EUR/MWh,71.1862
2021-04-17,FR,EUR/MWh,64.4708
2021-04-18,FR,EUR/MWh,64.5808
2021-04-19,FR,EUR/MWh,82.4204
2021-04-20,FR,EUR/MWh,81.22
2021-04-21,FR,EUR/MWh,77.7579
2021-04-22,FR,EUR/MWh,69.8946
2021-04-23,FR,EUR/MWh,65.0979
2021-04-24,FR,EUR/MWh,51.6162
2021-04-25,FR,EUR/MWh,37.6258
2021-04-26,FR,EUR/MWh,60.7367
2021-04-27,FR,EUR/MWh,67.5442
2021-04-28,FR,EUR/MWh,69.2429
2021-04-29,FR,EUR/MWh,69.3133
2021-04-30,FR,EUR/MWh,73.3658
2021-05-01,FR,EUR/MWh,56.195
2021-05-02,FR,EUR/MWh,46.7596
2021-05-03,FR,EUR/MWh,65.3925
2021-05-04,FR,EUR/MWh,38.4904
2021-05-05,FR,EUR/MWh,63.3617
2021-05-06,FR,EUR/MWh,73.3217
2021-05-07,FR,EUR/MWh,72.4575
2021-05-08,FR,EUR/MWh,39.7723
2021-05-09,FR,EUR/MWh,7.8859
2021-05-10,FR,EUR/MWh,60.3479
2021-05-11,FR,EUR/MWh,71.5692
2021-05-12,FR,EUR/MWh,68.5739
2021-05-13,FR,EUR/MWh,63.41
2021-05-14,FR,EUR/MWh,71.9118
2021-05-15,FR,EUR/MWh,55.8838
2021-05-16,FR,EUR/MWh,30.6671
2021-05-17,FR,EUR/MWh,70.5846
2021-05-18,FR,EUR/MWh,74.5154
2021-05-19,FR,EUR/MWh,76.6867
2021-05-20,FR,EUR/MWh,66.2929
2021-05-21,FR,EUR/MWh,26.5512
2021-05-22,FR,EUR/MWh,21.3662
2021-05-23,FR,EUR/MWh,22.8304
2021-05-24,FR,EUR/MWh,33.7254
2021-05-25,FR,EUR/MWh,61.0571
2021-05-26,FR,EUR/MWh,68.437
2021-05-27,FR,EUR/MWh,72.9354
2021-05-28,FR,EUR/MWh,73.5475
2021-05-29,FR,EUR/MWh,55.5546
2021-05-30,FR,EUR/MWh,31.8529
2021-05-31,FR,EUR/MWh,66.8225
2021-06-01,FR,EUR/MWh,68.4446
2021-06-02,FR,EUR/MWh,65.6004
2021-06-03,FR,EUR/MWh,66.0292
2021-06-04,FR,EUR/MWh,72.3696
2021-06-05,FR,EUR/MWh,62.4633
2021-06-06,FR,EUR/MWh,57.6246
2021-06-07,FR,EUR/MWh,76.9619
2021-06-08,FR,EUR/MWh,76.5209
2021-06-09,FR,EUR/MWh,76.2667
2021-06-10,FR,EUR/MWh,77.9422
2021-06-11,FR,EUR/MWh,77.2121
2021-06-12,FR,EUR/MWh,44.8375
2021-06-13,FR,EUR/MWh,28.2422
2021-06-14,FR,EUR/MWh,75.9033
2021-06-15,FR,EUR/MWh,81.7039
2021-06-16,FR,EUR/MWh,86.1796
2021-06-17,FR,EUR/MWh,82.815
2021-06-18,FR,EUR/MWh,81.07
2021-06-19,FR,EUR/MWh,72.6762
2021-06-20,FR,EUR/MWh,57.6695
2021-06-21,FR,EUR/MWh,78.1933
2021-06-22,FR,EUR/MWh,83.2929
2021-06-23,FR,EUR/MWh,84.6578
2021-06-24,FR,EUR/MWh,89.1467
2021-06-25,FR,EUR/MWh,86.7754
2021-06-26,FR,EUR/MWh,74.9978
2021-06-27,FR,EUR/MWh,52.1842
2021-06-28,FR,EUR/MWh,87.9558
2021-06-29,FR,EUR/MWh,90.175
2021-06-30,FR,EUR/MWh,90.1392
2021-07-01,FR,EUR/MWh,88.5675
2021-07-02,FR,EUR/MWh,96.4958
2021-07-03,FR,EUR/MWh,83.9562
2021-07-04,FR,EUR/MWh,78.3525
2021-07-05,FR,EUR/MWh,92.9788
2021-07-06,FR,EUR/MWh,80.6333
2021-07-07,FR,EUR/MWh,97.7635
2021-07-08,FR,EUR/MWh,94.0935
2021-07-09,FR,EUR/MWh,90.6675
2021-07-10,FR,EUR/MWh,81.6408
2021-07-11,FR,EUR/MWh,77.4463
2021-07-12,FR,EUR/MWh,93.8492
2021-07-13,FR,EUR/MWh,93.4117
2021-07-14,FR,EUR/MWh,69.3304
2021-07-15,FR,EUR/MWh,75.0204
2021-07-16,FR,EUR/MWh,83.0192
2021-07-17,FR,EUR/MWh,62.535
2021-07-18,FR,EUR/MWh,46.8738
2021-07-19,FR,EUR/MWh,90.2529
2021-07-20,FR,EUR/MWh,90.8954
2021-07-21,FR,EUR/MWh,91.0217
2021-07-22,FR,EUR/MWh,88.4283
2021-07-23,FR,EUR/MWh,87.7338
2021-07-24,FR,EUR/MWh,74.7388
2021-07-25,FR,EUR/MWh,62.5125
2021-07-26,FR,EUR/MWh,86.4908
2021-07-27,FR,EUR/MWh,84.4996
2021-07-28,FR,EUR/MWh,64.7871
2021-07-29,FR,EUR/MWh,49.0742
2021-07-30,FR,EUR/MWh,41.3443
2021-07-31,FR,EUR/MWh,30.3246
2021-08-01,FR,EUR/MWh,50.6533
2021-08-02,FR,EUR/MWh,82.4458
2021-08-03,FR,EUR/MWh,90.6967
2021-08-04,FR,EUR/MWh,91.6354
2021-08-05,FR,EUR/MWh,79.7096
2021-08-06,FR,EUR/MWh,26.4477
2021-08-07,FR,EUR/MWh,39.7474
2021-08-08,FR,EUR/MWh,3.5642
2021-08-09,FR,EUR/MWh,69.1354
2021-08-10,FR,EUR/MWh,86.1787
2021-08-11,FR,EUR/MWh,99.6738
2021-08-12,FR,EUR/MWh,104.5992
2021-08-13,FR,EUR/MWh,92.5575
2021-08-14,FR,EUR/MWh,69.6458
2021-08-15,FR,EUR/MWh,47.9329
2021-08-16,FR,EUR/MWh,49.8288
2021-08-17,FR,EUR/MWh,67.2788
2021-08-18,FR,EUR/MWh,80.8183
2021-08-19,FR,EUR/MWh,96.2392
2021-08-20,FR,EUR/MWh,101.7421
2021-08-21,FR,EUR/MWh,90.0504
2021-08-22,FR,EUR/MWh,75.2967
2021-08-23,FR,EUR/MWh,91.327
2021-08-24,FR,EUR/MWh,78.485
2021-08-25,FR,EUR/MWh,86.5762
2021-08-26,FR,EUR/MWh,93.9538
2021-08-27,FR,EUR/MWh,96.1204
2021-08-28,FR,EUR/MWh,73.2496
2021-08-29,FR,EUR/MWh,71.1504
2021-08-30,FR,EUR/MWh,107.9704
2021-08-31,FR,EUR/MWh,108.2246
2021-09-01,FR,EUR/MWh,104.0071
2021-09-02,FR,EUR/MWh,107.8075
2021-09-03,FR,EUR/MWh,111.2458
2021-09-04,FR,EUR/MWh,107.4267
2021-09-05,FR,EUR/MWh,98.9696
2021-09-06,FR,EUR/MWh,125.0813
2021-09-07,FR,EUR/MWh,123.785
2021-09-08,FR,EUR/MWh,121.9892
2021-09-09,FR,EUR/MWh,132.5117
2021-09-10,FR,EUR/MWh,138.7592
2021-09-11,FR,EUR/MWh,127.8229
2021-09-12,FR,EUR/MWh,108.8588
2021-09-13,FR,EUR/MWh,140.3558
2021-09-14,FR,EUR/MWh,146.5429
2021-09-15,FR,EUR/MWh,166.5075
2021-09-16,FR,EUR/MWh,169.975
2021-09-17,FR,EUR/MWh,160.5305
2021-09-18,FR,EUR/MWh,135.1208
2021-09-19,FR,EUR/MWh,101.72
2021-09-20,FR,EUR/MWh,153.7529
2021-09-21,FR,EUR/MWh,146.8446
2021-09-22,FR,EUR/MWh,149.4692
2021-09-23,FR,EUR/MWh,145.78
2021-09-24,FR,EUR/MWh,148.7254
2021-09-25,FR,EUR/MWh,144.8525
2021-09-26,FR,EUR/MWh,124.6788
2021-09-27,FR,EUR/MWh,146.5608
2021-09-28,FR,EUR/MWh,158.8962
2021-09-29,FR,EUR/MWh,153.0875
2021-09-30,FR,EUR/MWh,161.0304
2021-10-01,FR,EUR/MWh,143.3754
2021-10-02,FR,EUR/MWh,92.5429
2021-10-03,FR,EUR/MWh,70.4738
2021-10-04,FR,EUR/MWh,160.0538
2021-10-05,FR,EUR/MWh,150.5077
2021-10-06,FR,EUR/MWh,194.4622
2021-10-07,FR,EUR/MWh,291.2438
2021-10-08,FR,EUR/MWh,203.9675
2021-10-09,FR,EUR/MWh,179.9296
2021-10-10,FR,EUR/MWh,149.5129
2021-10-11,FR,EUR/MWh,184.6679
2021-10-12,FR,EUR/MWh,187.8987
2021-10-13,FR,EUR/MWh,196.0275
2021-10-14,FR,EUR/MWh,200.2971
2021-10-15,FR,EUR/MWh,214.63
2021-10-16,FR,EUR/MWh,188.8838
2021-10-17,FR,EUR/MWh,163.9333
2021-10-18,FR,EUR/MWh,194.1729
2021-10-19,FR,EUR/MWh,157.0754
2021-10-20,FR,EUR/MWh,100.2312
2021-10-21,FR,EUR/MWh,166.4783
2021-10-22,FR,EUR/MWh,213.0633
2021-10-23,FR,EUR/MWh,204.7817
2021-10-24,FR,EUR/MWh,167.6542
2021-10-25,FR,EUR/MWh,208.47
2021-10-26,FR,EUR/MWh,214.8683
2021-10-27,FR,EUR/MWh,204.2596
2021-10-28,FR,EUR/MWh,187.0942
2021-10-29,FR,EUR/MWh,151.3292
2021-10-30,FR,EUR/MWh,121.8512
2021-10-31,FR,EUR/MWh,76.2775
2021-11-01,FR,EUR/MWh,95.1408
2021-11-02,FR,EUR/MWh,204.0183
2021-11-03,FR,EUR/MWh,186.8354
2021-11-04,FR,EUR/MWh,178.1644
2021-11-05,FR,EUR/MWh,189.2334
2021-11-06,FR,EUR/MWh,162.5429
2021-11-07,FR,EUR/MWh,138.4046
2021-11-08,FR,EUR/MWh,209.4062
2021-11-09,FR,EUR/MWh,191.6371
2021-11-10,FR,EUR/MWh,231.6046
2021-11-11,FR,EUR/MWh,187.8771
2021-11-12,FR,EUR/MWh,187.2079
2021-11-13,FR,EUR/MWh,169.275
2021-11-14,FR,EUR/MWh,171.2679
