date,country_code,unit,value
2021-04-08,IE,EUR/MWh,65.595
2021-04-09,IE,EUR/MWh,96.0754
2021-04-10,IE,EUR/MWh,80.1943
2021-04-11,IE,EUR/MWh,78.19
2021-04-12,IE,EUR/MWh,108.7667
2021-04-13,IE,EUR/MWh,162.5748
2021-04-14,IE,EUR/MWh,126.1075
2021-04-15,IE,EUR/MWh,87.0821
2021-04-16,IE,EUR/MWh,82.273
2021-04-17,IE,EUR/MWh,74.1591
2021-04-18,IE,EUR/MWh,85.1816
2021-04-19,IE,EUR/MWh,85.6365
2021-04-20,IE,EUR/MWh,94.145
2021-04-21,IE,EUR/MWh,78.9883
2021-04-22,IE,EUR/MWh,78.7061
2021-04-23,IE,EUR/MWh,73.2
2021-04-24,IE,EUR/MWh,71.6309
2021-04-25,IE,EUR/MWh,71.7639
2021-04-26,IE,EUR/MWh,95.1026
2021-04-27,IE,EUR/MWh,71.5148
2021-04-28,IE,EUR/MWh,78.4961
2021-04-29,IE,EUR/MWh,125.547
2021-04-30,IE,EUR/MWh,132.1638
2021-05-01,IE,EUR/MWh,131.1248
2021-05-02,IE,EUR/MWh,125.0017
2021-05-03,IE,EUR/MWh,49.999
2021-05-04,IE,EUR/MWh,68.9718
2021-05-05,IE,EUR/MWh,101.3808
2021-05-06,IE,EUR/MWh,94.8838
2021-05-07,IE,EUR/MWh,113.5471
2021-05-08,IE,EUR/MWh,59.8742
2021-05-09,IE,EUR/MWh,37.7276
2021-05-10,IE,EUR/MWh,89.3822
2021-05-11,IE,EUR/MWh,92.2704
2021-05-12,IE,EUR/MWh,171.443
2021-05-13,IE,EUR/MWh,141.4879
2021-05-14,IE,EUR/MWh,132.74
2021-05-15,IE,EUR/MWh,99.8757
2021-05-16,IE,EUR/MWh,100.3921
2021-05-17,IE,EUR/MWh,102.7577
2021-05-18,IE,EUR/MWh,116.6648
2021-05-19,IE,EUR/MWh,113.0162
2021-05-20,IE,EUR/MWh,61.6776
2021-05-21,IE,EUR/MWh,62.585
2021-05-22,IE,EUR/MWh,93.7786
2021-05-23,IE,EUR/MWh,90.5738
2021-05-24,IE,EUR/MWh,84.1427
2021-05-25,IE,EUR/MWh,88.0496
2021-05-26,IE,EUR/MWh,121.4083
2021-05-27,IE,EUR/MWh,92.1257
2021-05-28,IE,EUR/MWh,119.4375
2021-05-29,IE,EUR/MWh,100.8092
2021-05-30,IE,EUR/MWh,84.8267
2021-05-31,IE,EUR/MWh,78.9075
2021-06-01,IE,EUR/MWh,105.7761
