date,country_code,unit,value
2021-04-08,IT,EUR/MWh,71.67
2021-04-09,IT,EUR/MWh,71.0265
2021-04-10,IT,EUR/MWh,59.5508
2021-04-11,IT,EUR/MWh,58.363
2021-04-12,IT,EUR/MWh,75.1071
2021-04-13,IT,EUR/MWh,78.2613
2021-04-14,IT,EUR/MWh,82.3739
2021-04-15,IT,EUR/MWh,78.1309
2021-04-16,IT,EUR/MWh,73.9279
2021-04-17,IT,EUR/MWh,67.8352
2021-04-18,IT,EUR/MWh,69.3752
2021-04-19,IT,EUR/MWh,83.1509
2021-04-20,IT,EUR/MWh,80.9763
2021-04-21,IT,EUR/MWh,78.8342
2021-04-22,IT,EUR/MWh,73.5221
2021-04-23,IT,EUR/MWh,70.9978
2021-04-24,IT,EUR/MWh,64.9348
2021-04-25,IT,EUR/MWh,65.2518
2021-04-26,IT,EUR/MWh,72.2361
2021-04-27,IT,EUR/MWh,76.0555
2021-04-28,IT,EUR/MWh,73.3226
2021-04-29,IT,EUR/MWh,74.2962
2021-04-30,IT,EUR/MWh,72.26
2021-05-01,IT,EUR/MWh,56.3808
2021-05-02,IT,EUR/MWh,47.653
2021-05-03,IT,EUR/MWh,72.5571
2021-05-04,IT,EUR/MWh,73.0804
2021-05-05,IT,EUR/MWh,73.5274
2021-05-06,IT,EUR/MWh,74.0629
2021-05-07,IT,EUR/MWh,76.4929
2021-05-08,IT,EUR/MWh,66.9596
2021-05-09,IT,EUR/MWh,63.8937
2021-05-10,IT,EUR/MWh,69.7575
2021-05-11,IT,EUR/MWh,75.5439
2021-05-12,IT,EUR/MWh,69.4313
2021-05-13,IT,EUR/MWh,74.355
2021-05-14,IT,EUR/MWh,78.2335
2021-05-15,IT,EUR/MWh,61.0933
2021-05-16,IT,EUR/MWh,46.6108
2021-05-17,IT,EUR/MWh,71.7142
2021-05-18,IT,EUR/MWh,75.4154
2021-05-19,IT,EUR/MWh,78.7088
2021-05-20,IT,EUR/MWh,72.0696
2021-05-21,IT,EUR/MWh,77.2979
2021-05-22,IT,EUR/MWh,61.6762
2021-05-23,IT,EUR/MWh,62.8857
2021-05-24,IT,EUR/MWh,75.163
2021-05-25,IT,EUR/MWh,70.2395
2021-05-26,IT,EUR/MWh,82.7029
2021-05-27,IT,EUR/MWh,82.8996
2021-05-28,IT,EUR/MWh,79.1768
2021-05-29,IT,EUR/MWh,63.7123
2021-05-30,IT,EUR/MWh,59.1162
2021-05-31,IT,EUR/MWh,72.4946
2021-06-01,IT,EUR/MWh,73.5036
2021-06-02,IT,EUR/MWh,67.2612
2021-06-03,IT,EUR/MWh,71.9809
2021-06-04,IT,EUR/MWh,77.9608
2021-06-05,IT,EUR/MWh,67.1762
2021-06-06,IT,EUR/MWh,66.3326
2021-06-07,IT,EUR/MWh,77.2936
2021-06-08,IT,EUR/MWh,77.6074
2021-06-09,IT,EUR/MWh,76.53
2021-06-10,IT,EUR/MWh,83.0275
2021-06-11,IT,EUR/MWh,81.2146
2021-06-12,IT,EUR/MWh,72.1032
2021-06-13,IT,EUR/MWh,64.9908
2021-06-14,IT,EUR/MWh,76.3408
2021-06-15,IT,EUR/MWh,83.2739
2021-06-16,IT,EUR/MWh,90.5788
2021-06-17,IT,EUR/MWh,90.175
2021-06-18,IT,EUR/MWh,87.0327
2021-06-19,IT,EUR/MWh,74.1652
2021-06-20,IT,EUR/MWh,75.4679
2021-06-21,IT,EUR/MWh,84.1117
2021-06-22,IT,EUR/MWh,90.371
2021-06-23,IT,EUR/MWh,100.2433
2021-06-24,IT,EUR/MWh,102.4865
2021-06-25,IT,EUR/MWh,96.2241
2021-06-26,IT,EUR/MWh,82.8521
2021-06-27,IT,EUR/MWh,82.1804
2021-06-28,IT,EUR/MWh,99.3174
2021-06-29,IT,EUR/MWh,110.1305
2021-06-30,IT,EUR/MWh,102.6948
2021-07-01,IT,EUR/MWh,98.6586
2021-07-02,IT,EUR/MWh,110.0124
2021-07-03,IT,EUR/MWh,104.8678
2021-07-04,IT,EUR/MWh,91.7125
2021-07-05,IT,EUR/MWh,98.8804
2021-07-06,IT,EUR/MWh,104.1709
2021-07-07,IT,EUR/MWh,110.4376
2021-07-08,IT,EUR/MWh,108.1833
2021-07-09,IT,EUR/MWh,94.6108
2021-07-10,IT,EUR/MWh,87.2242
2021-07-11,IT,EUR/MWh,82.85
2021-07-12,IT,EUR/MWh,101.7333
2021-07-13,IT,EUR/MWh,105.8508
2021-07-14,IT,EUR/MWh,98.9775
2021-07-15,IT,EUR/MWh,96.3133
2021-07-16,IT,EUR/MWh,100.0184
2021-07-17,IT,EUR/MWh,89.1891
2021-07-18,IT,EUR/MWh,79.5073
2021-07-19,IT,EUR/MWh,96.9717
2021-07-20,IT,EUR/MWh,107.6486
2021-07-21,IT,EUR/MWh,100.8129
2021-07-22,IT,EUR/MWh,100.0348
2021-07-23,IT,EUR/MWh,107.7335
2021-07-24,IT,EUR/MWh,96.9195
2021-07-25,IT,EUR/MWh,84.7909
2021-07-26,IT,EUR/MWh,105.3061
2021-07-27,IT,EUR/MWh,111.7438
2021-07-28,IT,EUR/MWh,112.4482
2021-07-29,IT,EUR/MWh,114.3917
2021-07-30,IT,EUR/MWh,111.2525
2021-07-31,IT,EUR/MWh,106.2571
2021-08-01,IT,EUR/MWh,75.9487
2021-08-02,IT,EUR/MWh,104.6039
2021-08-03,IT,EUR/MWh,111.2933
2021-08-04,IT,EUR/MWh,110.9227
2021-08-05,IT,EUR/MWh,105.0917
2021-08-06,IT,EUR/MWh,105.9538
2021-08-07,IT,EUR/MWh,90.4736
2021-08-08,IT,EUR/MWh,95.259
2021-08-09,IT,EUR/MWh,116.2243
2021-08-10,IT,EUR/MWh,108.2005
2021-08-11,IT,EUR/MWh,119.0062
2021-08-12,IT,EUR/MWh,120.8916
2021-08-13,IT,EUR/MWh,127.5321
2021-08-14,IT,EUR/MWh,113.7032
2021-08-15,IT,EUR/MWh,112.7129
2021-08-16,IT,EUR/MWh,116.1259
2021-08-17,IT,EUR/MWh,113.2395
2021-08-18,IT,EUR/MWh,110.653
2021-08-19,IT,EUR/MWh,115.4124
2021-08-20,IT,EUR/MWh,109.4952
2021-08-21,IT,EUR/MWh,100.8243
2021-08-22,IT,EUR/MWh,98.6187
2021-08-23,IT,EUR/MWh,109.382
2021-08-24,IT,EUR/MWh,115.1909
2021-08-25,IT,EUR/MWh,106.8688
2021-08-26,IT,EUR/MWh,125.9557
2021-08-27,IT,EUR/MWh,113.0104
2021-08-28,IT,EUR/MWh,107.1355
2021-08-29,IT,EUR/MWh,98.0657
