date,country_code,unit,value
2021-04-08,NL,EUR/MWh,37.335
2021-04-09,NL,EUR/MWh,57.7421
2021-04-10,NL,EUR/MWh,56.2021
2021-04-11,NL,EUR/MWh,50.245
2021-04-12,NL,EUR/MWh,57.2333
2021-04-13,NL,EUR/MWh,54.5304
2021-04-14,NL,EUR/MWh,66.6758
2021-04-15,NL,EUR/MWh,60.8433
2021-04-16,NL,EUR/MWh,59.9554
2021-04-17,NL,EUR/MWh,60.4592
2021-04-18,NL,EUR/MWh,60.9158
2021-04-19,NL,EUR/MWh,70.7671
2021-04-20,NL,EUR/MWh,73.9209
2021-04-21,NL,EUR/MWh,55.3142
2021-04-22,NL,EUR/MWh,56.6354
2021-04-23,NL,EUR/MWh,62.2233
2021-04-24,NL,EUR/MWh,51.2308
2021-04-25,NL,EUR/MWh,37.6667
2021-04-26,NL,EUR/MWh,59.7158
2021-04-27,NL,EUR/MWh,56.345
2021-04-28,NL,EUR/MWh,58.5883
2021-04-29,NL,EUR/MWh,59.0325
2021-04-30,NL,EUR/MWh,67.8983
2021-05-01,NL,EUR/MWh,56.5158
2021-05-02,NL,EUR/MWh,47.1646
2021-05-03,NL,EUR/MWh,61.8454
2021-05-04,NL,EUR/MWh,32.1121
2021-05-05,NL,EUR/MWh,47.3971
2021-05-06,NL,EUR/MWh,69.2833
2021-05-07,NL,EUR/MWh,69.8958
2021-05-08,NL,EUR/MWh,47.0338
2021-05-09,NL,EUR/MWh,8.5046
2021-05-10,NL,EUR/MWh,60.28
2021-05-11,NL,EUR/MWh,71.5692
2021-05-12,NL,EUR/MWh,68.4683
2021-05-13,NL,EUR/MWh,63.41
2021-05-14,NL,EUR/MWh,72.3027
2021-05-15,NL,EUR/MWh,59.667
2021-05-16,NL,EUR/MWh,41.1888
2021-05-17,NL,EUR/MWh,74.1725
2021-05-18,NL,EUR/MWh,74.5154
2021-05-19,NL,EUR/MWh,75.8088
2021-05-20,NL,EUR/MWh,64.6267
2021-05-21,NL,EUR/MWh,28.985
2021-05-22,NL,EUR/MWh,34.5529
2021-05-23,NL,EUR/MWh,29.2062
2021-05-24,NL,EUR/MWh,42.5046
2021-05-25,NL,EUR/MWh,61.3975
2021-05-26,NL,EUR/MWh,65.5113
2021-05-27,NL,EUR/MWh,72.4367
2021-05-28,NL,EUR/MWh,71.8021
2021-05-29,NL,EUR/MWh,56.0612
2021-05-30,NL,EUR/MWh,37.9496
2021-05-31,NL,EUR/MWh,67.755
2021-06-01,NL,EUR/MWh,68.4763
2021-06-02,NL,EUR/MWh,67.4262
2021-06-03,NL,EUR/MWh,70.0338
2021-06-04,NL,EUR/MWh,72.7429
2021-06-05,NL,EUR/MWh,67.005
2021-06-06,NL,EUR/MWh,60.9121
2021-06-07,NL,EUR/MWh,77.6084
2021-06-08,NL,EUR/MWh,77.2709
2021-06-09,NL,EUR/MWh,77.3929
2021-06-10,NL,EUR/MWh,78.9888
2021-06-11,NL,EUR/MWh,77.7838
2021-06-12,NL,EUR/MWh,61.0758
2021-06-13,NL,EUR/MWh,49.3739
2021-06-14,NL,EUR/MWh,76.0375
2021-06-15,NL,EUR/MWh,81.7504
2021-06-16,NL,EUR/MWh,86.9521
2021-06-17,NL,EUR/MWh,79.1574
2021-06-18,NL,EUR/MWh,80.72
2021-06-19,NL,EUR/MWh,73.6792
2021-06-20,NL,EUR/MWh,59.9357
2021-06-21,NL,EUR/MWh,78.1933
2021-06-22,NL,EUR/MWh,84.5542
2021-06-23,NL,EUR/MWh,92.3087
2021-06-24,NL,EUR/MWh,93.16
2021-06-25,NL,EUR/MWh,89.4933
2021-06-26,NL,EUR/MWh,79.3629
2021-06-27,NL,EUR/MWh,64.1067
2021-06-28,NL,EUR/MWh,88.7838
2021-06-29,NL,EUR/MWh,91.5358
2021-06-30,NL,EUR/MWh,91.9425
2021-07-01,NL,EUR/MWh,89.7054
2021-07-02,NL,EUR/MWh,96.0575
2021-07-03,NL,EUR/MWh,84.0604
2021-07-04,NL,EUR/MWh,82.2038
2021-07-05,NL,EUR/MWh,94.1667
2021-07-06,NL,EUR/MWh,77.3513
2021-07-07,NL,EUR/MWh,96.148
2021-07-08,NL,EUR/MWh,96.327
2021-07-09,NL,EUR/MWh,88.4129
2021-07-10,NL,EUR/MWh,81.2062
2021-07-11,NL,EUR/MWh,77.4463
2021-07-12,NL,EUR/MWh,93.9842
2021-07-13,NL,EUR/MWh,94.1333
2021-07-14,NL,EUR/MWh,84.8029
2021-07-15,NL,EUR/MWh,86.2075
2021-07-16,NL,EUR/MWh,84.2
2021-07-17,NL,EUR/MWh,65.3479
2021-07-18,NL,EUR/MWh,50.8667
2021-07-19,NL,EUR/MWh,92.1745
2021-07-20,NL,EUR/MWh,91.3533
2021-07-21,NL,EUR/MWh,89.1412
2021-07-22,NL,EUR/MWh,87.7658
2021-07-23,NL,EUR/MWh,88.6567
2021-07-24,NL,EUR/MWh,79.3638
2021-07-25,NL,EUR/MWh,64.6512
2021-07-26,NL,EUR/MWh,90.3304
2021-07-27,NL,EUR/MWh,87.1979
2021-07-28,NL,EUR/MWh,77.5525
2021-07-29,NL,EUR/MWh,46.1942
2021-07-30,NL,EUR/MWh,95.0167
2021-07-31,NL,EUR/MWh,50.2742
2021-08-01,NL,EUR/MWh,80.7022
2021-08-02,NL,EUR/MWh,88.6671
2021-08-03,NL,EUR/MWh,96.445
2021-08-04,NL,EUR/MWh,98.6804
2021-08-05,NL,EUR/MWh,92.1425
2021-08-06,NL,EUR/MWh,68.9912
2021-08-07,NL,EUR/MWh,58.3957
2021-08-08,NL,EUR/MWh,11.2592
2021-08-09,NL,EUR/MWh,71.1475
2021-08-10,NL,EUR/MWh,92.0433
2021-08-11,NL,EUR/MWh,101.2321
2021-08-12,NL,EUR/MWh,106.2196
2021-08-13,NL,EUR/MWh,93.7979
2021-08-14,NL,EUR/MWh,73.9871
2021-08-15,NL,EUR/MWh,61.4108
2021-08-16,NL,EUR/MWh,73.0958
2021-08-17,NL,EUR/MWh,90.6187
2021-08-18,NL,EUR/MWh,88.5025
2021-08-19,NL,EUR/MWh,107.0604
2021-08-20,NL,EUR/MWh,102.8671
2021-08-21,NL,EUR/MWh,90.0504
2021-08-22,NL,EUR/MWh,78.8583
2021-08-23,NL,EUR/MWh,94.6304
2021-08-24,NL,EUR/MWh,95.55
2021-08-25,NL,EUR/MWh,98.3183
2021-08-26,NL,EUR/MWh,94.0187
2021-08-27,NL,EUR/MWh,96.2629
2021-08-28,NL,EUR/MWh,83.0379
2021-08-29,NL,EUR/MWh,80.9821
2021-08-30,NL,EUR/MWh,110.5975
2021-08-31,NL,EUR/MWh,111.0583
2021-09-01,NL,EUR/MWh,116.2571
2021-09-02,NL,EUR/MWh,123.8054
2021-09-03,NL,EUR/MWh,113.0862
2021-09-04,NL,EUR/MWh,107.0312
2021-09-05,NL,EUR/MWh,98.7616
2021-09-06,NL,EUR/MWh,130.6317
2021-09-07,NL,EUR/MWh,128.9383
2021-09-08,NL,EUR/MWh,125.0538
2021-09-09,NL,EUR/MWh,131.8162
2021-09-10,NL,EUR/MWh,140.0792
2021-09-11,NL,EUR/MWh,133.7696
2021-09-12,NL,EUR/MWh,119.4826
2021-09-13,NL,EUR/MWh,143.1633
2021-09-14,NL,EUR/MWh,143.9165
2021-09-15,NL,EUR/MWh,167.9654
2021-09-16,NL,EUR/MWh,163.0879
2021-09-17,NL,EUR/MWh,162.7586
2021-09-18,NL,EUR/MWh,137.32
