date,country_code,unit,value
2021-04-08,NO,EUR/MWh,35.995
2021-04-09,NO,EUR/MWh,37.0557
2021-04-10,NO,EUR/MWh,41.1567
2021-04-11,NO,EUR/MWh,41.3425
2021-04-12,NO,EUR/MWh,44.1867
2021-04-13,NO,EUR/MWh,43.8771
2021-04-14,NO,EUR/MWh,56.125
2021-04-15,NO,EUR/MWh,58.6575
2021-04-16,NO,EUR/MWh,52.0471
2021-04-17,NO,EUR/MWh,48.3896
2021-04-18,NO,EUR/MWh,48.8338
2021-04-19,NO,EUR/MWh,47.4846
2021-04-20,NO,EUR/MWh,45.9629
2021-04-21,NO,EUR/MWh,41.8317
2021-04-22,NO,EUR/MWh,40.7692
2021-04-23,NO,EUR/MWh,45.7458
2021-04-24,NO,EUR/MWh,46.0792
2021-04-25,NO,EUR/MWh,43.7996
2021-04-26,NO,EUR/MWh,57.03
2021-04-27,NO,EUR/MWh,53.3479
2021-04-28,NO,EUR/MWh,57.773
2021-04-29,NO,EUR/MWh,52.9904
2021-04-30,NO,EUR/MWh,55.8708
2021-05-01,NO,EUR/MWh,51.0675
2021-05-02,NO,EUR/MWh,46.5875
2021-05-03,NO,EUR/MWh,60.035
2021-05-04,NO,EUR/MWh,44.5608
2021-05-05,NO,EUR/MWh,49.4108
2021-05-06,NO,EUR/MWh,63.445
2021-05-07,NO,EUR/MWh,64.5333
2021-05-08,NO,EUR/MWh,50.172
2021-05-09,NO,EUR/MWh,41.089
2021-05-10,NO,EUR/MWh,50.9167
2021-05-11,NO,EUR/MWh,54.4148
2021-05-12,NO,EUR/MWh,53.6054
2021-05-13,NO,EUR/MWh,50.5483
2021-05-14,NO,EUR/MWh,51.4187
2021-05-15,NO,EUR/MWh,49.5952
2021-05-16,NO,EUR/MWh,35.6913
2021-05-17,NO,EUR/MWh,53.4729
2021-05-18,NO,EUR/MWh,55.4904
2021-05-19,NO,EUR/MWh,54.2733
2021-05-20,NO,EUR/MWh,52.42
2021-05-21,NO,EUR/MWh,33.2829
2021-05-22,NO,EUR/MWh,19.6361
2021-05-23,NO,EUR/MWh,28.0333
2021-05-24,NO,EUR/MWh,42.4708
2021-05-25,NO,EUR/MWh,49.5037
2021-05-26,NO,EUR/MWh,50.6
2021-05-27,NO,EUR/MWh,50.9563
2021-05-28,NO,EUR/MWh,51.7667
2021-05-29,NO,EUR/MWh,47.4212
2021-05-30,NO,EUR/MWh,37.6962
2021-05-31,NO,EUR/MWh,54.1208
2021-06-01,NO,EUR/MWh,54.9613
2021-06-02,NO,EUR/MWh,54.2346
2021-06-03,NO,EUR/MWh,52.0804
2021-06-04,NO,EUR/MWh,57.2005
2021-06-05,NO,EUR/MWh,56.1604
2021-06-06,NO,EUR/MWh,54.6396
2021-06-07,NO,EUR/MWh,57.6096
2021-06-08,NO,EUR/MWh,57.7217
2021-06-09,NO,EUR/MWh,57.6704
2021-06-10,NO,EUR/MWh,57.1295
2021-06-11,NO,EUR/MWh,56.0087
2021-06-12,NO,EUR/MWh,36.9138
2021-06-13,NO,EUR/MWh,23.0821
2021-06-14,NO,EUR/MWh,51.2217
2021-06-15,NO,EUR/MWh,52.4008
2021-06-16,NO,EUR/MWh,50.483
2021-06-17,NO,EUR/MWh,50.4025
2021-06-18,NO,EUR/MWh,51.395
2021-06-19,NO,EUR/MWh,53.0846
2021-06-20,NO,EUR/MWh,48.8975
2021-06-21,NO,EUR/MWh,53.1713
2021-06-22,NO,EUR/MWh,54.9335
2021-06-23,NO,EUR/MWh,55.9492
2021-06-24,NO,EUR/MWh,61.0222
2021-06-25,NO,EUR/MWh,60.6575
2021-06-26,NO,EUR/MWh,62.3879
2021-06-27,NO,EUR/MWh,55.9712
2021-06-28,NO,EUR/MWh,61.7854
2021-06-29,NO,EUR/MWh,61.1561
2021-06-30,NO,EUR/MWh,61.4548
2021-07-01,NO,EUR/MWh,59.2839
2021-07-02,NO,EUR/MWh,58.5042
2021-07-03,NO,EUR/MWh,58.8605
2021-07-04,NO,EUR/MWh,59.2778
2021-07-05,NO,EUR/MWh,59.3209
2021-07-06,NO,EUR/MWh,58.0221
2021-07-07,NO,EUR/MWh,57.8219
2021-07-08,NO,EUR/MWh,58.7802
2021-07-09,NO,EUR/MWh,57.9818
2021-07-10,NO,EUR/MWh,57.2452
2021-07-11,NO,EUR/MWh,58.5843
2021-07-12,NO,EUR/MWh,58.7335
2021-07-13,NO,EUR/MWh,59.3258
2021-07-14,NO,EUR/MWh,60.5236
2021-07-15,NO,EUR/MWh,61.1396
2021-07-16,NO,EUR/MWh,61.3896
2021-07-17,NO,EUR/MWh,55.1262
2021-07-18,NO,EUR/MWh,40.4946
2021-07-19,NO,EUR/MWh,61.2804
2021-07-20,NO,EUR/MWh,60.4143
2021-07-21,NO,EUR/MWh,60.3732
2021-07-22,NO,EUR/MWh,59.5039
2021-07-23,NO,EUR/MWh,60.12
2021-07-24,NO,EUR/MWh,59.4205
2021-07-25,NO,EUR/MWh,54.8296
2021-07-26,NO,EUR/MWh,59.4933
2021-07-27,NO,EUR/MWh,59.5762
2021-07-28,NO,EUR/MWh,57.9445
2021-07-29,NO,EUR/MWh,50.0513
2021-07-30,NO,EUR/MWh,53.6079
2021-07-31,NO,EUR/MWh,44.4217
2021-08-01,NO,EUR/MWh,55.7904
2021-08-02,NO,EUR/MWh,57.7708
2021-08-03,NO,EUR/MWh,59.4309
2021-08-04,NO,EUR/MWh,61.2542
2021-08-05,NO,EUR/MWh,61.8543
2021-08-06,NO,EUR/MWh,60.685
2021-08-07,NO,EUR/MWh,59.3185
2021-08-08,NO,EUR/MWh,40.4896
2021-08-09,NO,EUR/MWh,62.7212
2021-08-10,NO,EUR/MWh,69.5417
2021-08-11,NO,EUR/MWh,72.11
2021-08-12,NO,EUR/MWh,72.7296
2021-08-13,NO,EUR/MWh,71.6304
2021-08-14,NO,EUR/MWh,67.0825
2021-08-15,NO,EUR/MWh,64.7621
