date,country_code,unit,value
2021-04-08,SE,EUR/MWh,16.5
2021-04-09,SE,EUR/MWh,19.9638
2021-04-10,SE,EUR/MWh,20.1813
2021-04-11,SE,EUR/MWh,26.4042
2021-04-12,SE,EUR/MWh,38.3575
2021-04-13,SE,EUR/MWh,41.0346
2021-04-14,SE,EUR/MWh,56.8846
2021-04-15,SE,EUR/MWh,53.7508
2021-04-16,SE,EUR/MWh,43.5667
2021-04-17,SE,EUR/MWh,26.0958
2021-04-18,SE,EUR/MWh,24.7829
2021-04-19,SE,EUR/MWh,39.0483
2021-04-20,SE,EUR/MWh,26.8625
2021-04-21,SE,EUR/MWh,24.2808
2021-04-22,SE,EUR/MWh,21.9196
2021-04-23,SE,EUR/MWh,23.3352
2021-04-24,SE,EUR/MWh,18.0046
2021-04-25,SE,EUR/MWh,16.9729
2021-04-26,SE,EUR/MWh,53.0346
2021-04-27,SE,EUR/MWh,53.8617
2021-04-28,SE,EUR/MWh,58.1138
2021-04-29,SE,EUR/MWh,51.7562
2021-04-30,SE,EUR/MWh,52.1883
2021-05-01,SE,EUR/MWh,46.7412
2021-05-02,SE,EUR/MWh,46.15
2021-05-03,SE,EUR/MWh,59.9592
2021-05-04,SE,EUR/MWh,38.515
2021-05-05,SE,EUR/MWh,43.1425
2021-05-06,SE,EUR/MWh,61.2167
2021-05-07,SE,EUR/MWh,64.9867
2021-05-08,SE,EUR/MWh,44.1558
2021-05-09,SE,EUR/MWh,25.7048
2021-05-10,SE,EUR/MWh,42.6512
2021-05-11,SE,EUR/MWh,41.3996
2021-05-12,SE,EUR/MWh,41.4796
2021-05-13,SE,EUR/MWh,35.3925
2021-05-14,SE,EUR/MWh,38.3237
2021-05-15,SE,EUR/MWh,21.6012
2021-05-16,SE,EUR/MWh,29.88
2021-05-17,SE,EUR/MWh,52.9546
2021-05-18,SE,EUR/MWh,50.1183
2021-05-19,SE,EUR/MWh,54.8875
2021-05-20,SE,EUR/MWh,43.2804
2021-05-21,SE,EUR/MWh,28.9471
2021-05-22,SE,EUR/MWh,16.8721
2021-05-23,SE,EUR/MWh,22.2
2021-05-24,SE,EUR/MWh,44.8175
2021-05-25,SE,EUR/MWh,50.66
2021-05-26,SE,EUR/MWh,47.4383
2021-05-27,SE,EUR/MWh,55.2729
2021-05-28,SE,EUR/MWh,56.7512
2021-05-29,SE,EUR/MWh,42.2671
2021-05-30,SE,EUR/MWh,28.1958
2021-05-31,SE,EUR/MWh,51.5225
2021-06-01,SE,EUR/MWh,47.6109
2021-06-02,SE,EUR/MWh,47.9742
2021-06-03,SE,EUR/MWh,46.3679
2021-06-04,SE,EUR/MWh,47.5226
2021-06-05,SE,EUR/MWh,42.6475
2021-06-06,SE,EUR/MWh,41.0242
2021-06-07,SE,EUR/MWh,55.4535
2021-06-08,SE,EUR/MWh,54.952
2021-06-09,SE,EUR/MWh,54.3696
2021-06-10,SE,EUR/MWh,53.2195
2021-06-11,SE,EUR/MWh,37.3292
2021-06-12,SE,EUR/MWh,18.3043
2021-06-13,SE,EUR/MWh,15.8558
2021-06-14,SE,EUR/MWh,30.6054
2021-06-15,SE,EUR/MWh,38.7104
2021-06-16,SE,EUR/MWh,48.2008
2021-06-17,SE,EUR/MWh,38.8454
2021-06-18,SE,EUR/MWh,34.985
2021-06-19,SE,EUR/MWh,25.9192
2021-06-20,SE,EUR/MWh,26.795
2021-06-21,SE,EUR/MWh,33.5629
2021-06-22,SE,EUR/MWh,38.5258
2021-06-23,SE,EUR/MWh,41.0862
2021-06-24,SE,EUR/MWh,41.2429
2021-06-25,SE,EUR/MWh,32.4112
2021-06-26,SE,EUR/MWh,31.085
2021-06-27,SE,EUR/MWh,31.3808
2021-06-28,SE,EUR/MWh,45.747
2021-06-29,SE,EUR/MWh,47.3638
2021-06-30,SE,EUR/MWh,46.2625
2021-07-01,SE,EUR/MWh,45.3613
2021-07-02,SE,EUR/MWh,48.5633
2021-07-03,SE,EUR/MWh,47.1642
2021-07-04,SE,EUR/MWh,50.8275
2021-07-05,SE,EUR/MWh,60.613
2021-07-06,SE,EUR/MWh,62.6204
2021-07-07,SE,EUR/MWh,73.5146
2021-07-08,SE,EUR/MWh,78.2561
2021-07-09,SE,EUR/MWh,75.965
2021-07-10,SE,EUR/MWh,55.3075
2021-07-11,SE,EUR/MWh,56.5721
2021-07-12,SE,EUR/MWh,81.3971
2021-07-13,SE,EUR/MWh,77.2471
2021-07-14,SE,EUR/MWh,76.67
2021-07-15,SE,EUR/MWh,75.2654
2021-07-16,SE,EUR/MWh,59.4092
2021-07-17,SE,EUR/MWh,51.1383
2021-07-18,SE,EUR/MWh,33.0271
2021-07-19,SE,EUR/MWh,59.8962
2021-07-20,SE,EUR/MWh,55.7017
2021-07-21,SE,EUR/MWh,54.9913
2021-07-22,SE,EUR/MWh,53.8104
2021-07-23,SE,EUR/MWh,56.6542
2021-07-24,SE,EUR/MWh,55.5304
2021-07-25,SE,EUR/MWh,48.8967
2021-07-26,SE,EUR/MWh,54.45
2021-07-27,SE,EUR/MWh,55.9517
2021-07-28,SE,EUR/MWh,53.9909
2021-07-29,SE,EUR/MWh,44.9288
2021-07-30,SE,EUR/MWh,46.4538
2021-07-31,SE,EUR/MWh,43.0862
2021-08-01,SE,EUR/MWh,50.195
2021-08-02,SE,EUR/MWh,54.4154
2021-08-03,SE,EUR/MWh,56.1808
2021-08-04,SE,EUR/MWh,59.8025
2021-08-05,SE,EUR/MWh,60.1508
2021-08-06,SE,EUR/MWh,57.5654
2021-08-07,SE,EUR/MWh,50.5854
2021-08-08,SE,EUR/MWh,30.2952
2021-08-09,SE,EUR/MWh,64.3488
2021-08-10,SE,EUR/MWh,82.0817
2021-08-11,SE,EUR/MWh,84.0846
2021-08-12,SE,EUR/MWh,89.3438
2021-08-13,SE,EUR/MWh,75.6304
2021-08-14,SE,EUR/MWh,57.1154
2021-08-15,SE,EUR/MWh,57.8162
2021-08-16,SE,EUR/MWh,79.2596
2021-08-17,SE,EUR/MWh,60.2108
2021-08-18,SE,EUR/MWh,54.4954
2021-08-19,SE,EUR/MWh,74.9021
2021-08-20,SE,EUR/MWh,69.6492
2021-08-21,SE,EUR/MWh,51.8662
2021-08-22,SE,EUR/MWh,52.8921
2021-08-23,SE,EUR/MWh,70.5862
2021-08-24,SE,EUR/MWh,89.3275
2021-08-25,SE,EUR/MWh,59.1379
2021-08-26,SE,EUR/MWh,65.6512
2021-08-27,SE,EUR/MWh,71.8642
2021-08-28,SE,EUR/MWh,57.6296
2021-08-29,SE,EUR/MWh,63.7767
2021-08-30,SE,EUR/MWh,97.4974
2021-08-31,SE,EUR/MWh,90.2354
2021-09-01,SE,EUR/MWh,84.4258
2021-09-02,SE,EUR/MWh,82.3375
2021-09-03,SE,EUR/MWh,73.7038
2021-09-04,SE,EUR/MWh,76.2783
2021-09-05,SE,EUR/MWh,68.6212
2021-09-06,SE,EUR/MWh,98.9782
2021-09-07,SE,EUR/MWh,76.0208
2021-09-08,SE,EUR/MWh,69.6088
2021-09-09,SE,EUR/MWh,89.2296
2021-09-10,SE,EUR/MWh,100.1629
2021-09-11,SE,EUR/MWh,98.0357
2021-09-12,SE,EUR/MWh,91.26
2021-09-13,SE,EUR/MWh,83.7087
2021-09-14,SE,EUR/MWh,120.845
2021-09-15,SE,EUR/MWh,137.7625
2021-09-16,SE,EUR/MWh,116.8417
2021-09-17,SE,EUR/MWh,99.3517
2021-09-18,SE,EUR/MWh,82.8342
2021-09-19,SE,EUR/MWh,79.0508
2021-09-20,SE,EUR/MWh,122.8129
2021-09-21,SE,EUR/MWh,113.7725
2021-09-22,SE,EUR/MWh,93.4758
2021-09-23,SE,EUR/MWh,59.1479
2021-09-24,SE,EUR/MWh,79.3217
2021-09-25,SE,EUR/MWh,76.3142
2021-09-26,SE,EUR/MWh,79.2967
2021-09-27,SE,EUR/MWh,88.1504
2021-09-28,SE,EUR/MWh,97.7183
2021-09-29,SE,EUR/MWh,91.2804
2021-09-30,SE,EUR/MWh,78.6562
2021-10-01,SE,EUR/MWh,54.8612
2021-10-02,SE,EUR/MWh,59.585
2021-10-03,SE,EUR/MWh,9.1875
2021-10-04,SE,EUR/MWh,58.1896
2021-10-05,SE,EUR/MWh,66.8996
2021-10-06,SE,EUR/MWh,85.6391
2021-10-07,SE,EUR/MWh,97.2175
2021-10-08,SE,EUR/MWh,99.6738
2021-10-09,SE,EUR/MWh,76.9633
2021-10-10,SE,EUR/MWh,34.2412
